,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,link,download
0,0,0,0,0,0,https://cungthi.online/de-thi/toan-hoc/bai-tap-trac-nghiem-so-1-ve-cuc-tri-cua-ham-so-giai-tich-lop-12-chuyen-de-ham-so-IY9G9G.html,Yes
1,1,1,1,1,1,https://cungthi.online/de-thi/toan-hoc/bai-tap-trac-nghiem-so-2-ve-cuc-tri-cua-ham-so-giai-tich-lop-12-chuyen-de-ham-so-1YFQSP.html,
2,2,2,2,2,2,https://cungthi.online/de-thi/toan-hoc/bai-tap-trac-nghiem-so-3-ve-su-dong-bien-va-nghich-bien-cua-ham-so-giai-tich-lop-12-chuyen-de-ham-so-26WX3R.html,
3,3,3,3,3,3,https://cungthi.online/de-thi/toan-hoc/bai-tap-trac-nghiem-so-1-ve-su-tuong-giao-giua-hai-do-thi-giai-tich-lop-12-chuyen-de-ham-so-Q0YH2N.html,
4,4,4,4,4,4,https://cungthi.online/de-thi/toan-hoc/de-trac-nghiem-toan-lop-12-on-luyen-ham-so-mu-va-logarit-QRN0YZ.html,
5,5,5,5,5,5,https://cungthi.online/de-thi/toan-hoc/test-OM6NZ8.html,
6,6,6,6,6,6,https://cungthi.online/de-thi/toan-hoc/test2-6RXXOG.html,
7,7,7,7,7,7,https://cungthi.online/de-thi/toan-hoc/bai-tap-trac-nghiem-so-2-ve-su-tuong-giao-giua-hai-do-thi-giai-tich-lop-12-chuyen-de-ham-so-VDBAFC.html,
8,8,8,8,8,8,https://cungthi.online/de-thi/toan-hoc/bai-tap-trac-nghiem-so-4-ve-su-dong-bien-va-nghich-bien-cua-ham-so-giai-tich-lop-12-chuyen-de-ham-so-co-loi-giai-chi-tiet-8HD3BF.html,
9,9,9,9,9,9,https://cungthi.online/de-thi/vat-ly/vat-ly-lop-12-de-kiem-tra-trac-nghiem-20-phut-chuong-1-dao-dong-co-hoc-de-so-6-6L98HP.html,
10,10,10,10,10,10,https://cungthi.online/de-thi/vat-ly/vat-ly-lop-12-de-kiem-tra-trac-nghiem-20-phut-chuong-1-dao-dong-co-hoc-de-so-4-4L98HP.html,
11,11,11,11,11,11,https://cungthi.online/de-thi/vat-ly/vat-ly-lop-12-de-kiem-tra-trac-nghiem-20-phut-chuong-1-dao-dong-co-hoc-de-so-5-0L98HP.html,
12,12,12,12,12,12,https://cungthi.online/de-thi/vat-ly/vat-ly-lop-12-de-kiem-tra-trac-nghiem-20-phut-chuong-1-dao-dong-co-hoc-de-so-1-5L98HP.html,
